2017-02-19 22:18:00,265 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:18:00,266 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DevOps software\Mars-workspace\FinalDevOps\ShoppingCart\src\test\resources
2017-02-19 22:20:37,428 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.niit:ShoppingCart:0.0.1-SNAPSHOT @ C:\DevOps software\Mars-workspace\FinalDevOps\ShoppingCart\pom.xml.
2017-02-19 22:20:39,521 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:20:39,525 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-19 22:20:39,529 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:20:39,530 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DevOps software\Mars-workspace\FinalDevOps\ShoppingCart\src\test\resources
2017-02-19 22:20:39,530 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ShoppingCart
2017-02-19 22:20:39,532 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ShoppingCart
2017-02-19 22:20:39,542 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:20:40,711 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:20:40,713 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-19 22:20:40,715 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:20:40,717 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DevOps software\Mars-workspace\FinalDevOps\ShoppingCart\src\test\resources
2017-02-19 22:21:17,853 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-02-19 22:21:31,373 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\DevOps software\Mars-workspace\FinalDevOps\ShoppingCart
2017-02-19 22:21:31,373 [Worker-17] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean compile install
2017-02-19 22:22:41,776 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:22:41,778 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-19 22:22:41,779 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:22:41,781 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DevOps software\Mars-workspace\FinalDevOps\ShoppingCart\src\test\resources
2017-02-19 22:22:44,823 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:22:44,824 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-19 22:22:44,826 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:22:44,827 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DevOps software\Mars-workspace\FinalDevOps\ShoppingCart\src\test\resources
2017-02-19 22:22:55,937 [main] INFO  o.e.m2e.actions.ExecutePomAction - Using existing launch configuration
2017-02-19 22:22:56,036 [Worker-18] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\DevOps software\Mars-workspace\FinalDevOps\ShoppingCart
2017-02-19 22:22:56,036 [Worker-18] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean compile install
2017-02-19 22:24:22,422 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:24:22,424 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-19 22:24:22,425 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:24:22,426 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DevOps software\Mars-workspace\FinalDevOps\ShoppingCart\src\test\resources
2017-02-19 22:24:49,829 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.niit:ShoppingCart:0.0.1-SNAPSHOT @ C:\DevOps software\Mars-workspace\FinalDevOps\ShoppingCart\pom.xml.
2017-02-19 22:24:51,133 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:24:51,137 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-19 22:24:51,139 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-19 22:24:51,140 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\DevOps software\Mars-workspace\FinalDevOps\ShoppingCart\src\test\resources
2017-02-19 22:24:51,141 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ShoppingCart
2017-02-19 22:24:51,141 [Worker-4] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ShoppingCart
2017-02-19 22:24:51,146 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
